bh_mass,dist,vx,vy,speed,v_ratio,ang_mom,energy,fate,time_to_fate,min_dist
7776.166643344654,239.03481377525003,0.9586118070470308,-7.998997199129002,8.056233163723826,1.9975369623238823,1922.0809691554903,16.18568468242705,ESCAPE,317.8,238.41589896255653
4406.688081018861,468.38238114918545,-0.5691320754421754,3.8220524505038056,3.864194127330984,1.7816322014522397,1599.4674823479272,2.761841588972432,STABLE,400.0,468.38238114918545
2777.589064899708,532.3263877487609,0.2357171408648546,-0.4342047784960361,0.49406108950846706,0.3058796962145474,245.592978031932,-2.486867260541817,STABLE,400.0,155.90871797419499
3145.9157438266984,507.70256788206643,3.257472814393032,-0.48050693818751655,3.2927216788176925,1.8706871258339006,1595.9670005658961,2.3228202860249962,STABLE,400.0,475.5762542295
6711.389688854934,482.3498572711838,-0.3896541898283682,-0.7534295736935089,0.8482255066707112,0.32158899218126197,379.4546989512602,-6.597229560067351,SWALLOWED,188.20000000000002,74.12397222609229
2109.452259951568,299.7263329008231,0.4033511012533331,2.6075787270340447,2.6385903298092273,1.4065804077751318,765.9513969157371,-0.03788438439982045,STABLE,400.0,280.89669200710233
1172.9409490680466,148.37523726891231,1.9674083600657086,-2.3755737456979436,3.084484766781285,1.5514588696967777,447.4039541101348,0.804406210192889,STABLE,400.0,142.6758233657566
7739.619630432133,247.8856546412238,0.23941595090945064,-5.214734352960943,5.220227425074588,1.321205309417435,1276.2704425516458,-1.9858825388526498,STABLE,400.0,239.9151892014817
6853.275683360359,222.9513492009235,-5.609220499089175,1.015596256931009,5.7004201919239685,1.454044904635625,1253.2007002829425,0.8779531314969837,STABLE,400.0,222.95134920092346
3874.780440494528,195.97456916845786,0.08568858401327073,-3.1163031095384564,3.117480970904113,0.991505479935602,549.4517912476954,-5.0265828693676236,STABLE,400.0,108.49757725504786
7869.938480872098,429.16538553815286,-4.614385389932979,0.09741001538678543,4.615413441710784,1.5242362391978779,1977.9565243019395,1.4821328823574706,STABLE,400.0,429.1653855381528
1493.3773807450366,328.3587690132657,0.4014110509901561,-0.5576777081530953,0.6871209922771321,0.45565667806652455,203.2209382582191,-2.0379349585105215,SWALLOWED,332.8,39.07397259117169
5012.40018849645,86.45080695070064,6.083099602120665,-2.141993366563952,6.449204319272616,1.1977958137246927,548.465390085734,-8.193780040789512,STABLE,400.0,82.21893795272375
7852.1326562150625,301.28337186377667,1.3893609059236167,2.9231645827350485,3.236543666423406,0.8965824552554451,890.411297279579,-7.793534305741712,STABLE,400.0,139.7904499305524
3624.056660261584,346.8561061861568,3.4014357975225953,-0.3050242894986992,3.4150849626110857,1.4941482596972941,1077.5659614498513,0.6072526422817281,STABLE,400.0,291.7708370072779
